date,PM2.5,TEMP,PRES,WSPM,RAIN,weekday,day_type
2013-03-01,4.0,-0.7,1023.0,4.4,0.0,4,Weekday
2013-03-01,8.0,-1.1,1023.2,4.7,0.0,4,Weekday
2013-03-01,7.0,-1.1,1023.5,5.6,0.0,4,Weekday
2013-03-01,6.0,-1.4,1024.5,3.1,0.0,4,Weekday
2013-03-01,3.0,-2.0,1025.2,2.0,0.0,4,Weekday
2013-03-01,5.0,-2.2,1025.6,3.7,0.0,4,Weekday
2013-03-01,3.0,-2.6,1026.5,2.5,0.0,4,Weekday
2013-03-01,3.0,-1.6,1027.4,3.8,0.0,4,Weekday
2013-03-01,3.0,0.1,1028.3,4.1,0.0,4,Weekday
2013-03-01,3.0,1.2,1028.5,2.6,0.0,4,Weekday
2013-03-01,3.0,1.9,1028.2,3.6,0.0,4,Weekday
2013-03-01,3.0,2.9,1028.2,3.7,0.0,4,Weekday
2013-03-01,3.0,3.9,1027.3,5.1,0.0,4,Weekday
2013-03-01,3.0,5.3,1026.2,4.3,0.0,4,Weekday
2013-03-01,6.0,6.0,1025.9,4.4,0.0,4,Weekday
2013-03-01,8.0,6.2,1025.7,2.8,0.0,4,Weekday
2013-03-01,9.0,5.9,1025.6,3.9,0.0,4,Weekday
2013-03-01,10.0,4.3,1026.3,2.8,0.0,4,Weekday
2013-03-01,11.0,3.1,1027.4,2.1,0.0,4,Weekday
2013-03-01,8.0,2.3,1028.3,2.8,0.0,4,Weekday
2013-03-01,11.0,1.7,1029.1,2.1,0.0,4,Weekday
2013-03-01,12.0,0.6,1030.1,0.8,0.0,4,Weekday
2013-03-01,15.0,0.9,1030.5,1.8,0.0,4,Weekday
2013-03-01,24.0,-0.2,1030.5,1.4,0.0,4,Weekday
2013-03-02,22.0,-0.4,1031.0,1.4,0.0,5,Weekend
2013-03-02,14.0,-1.0,1031.3,1.1,0.0,5,Weekend
2013-03-02,13.0,-1.5,1030.9,1.7,0.0,5,Weekend
2013-03-02,3.0,-1.4,1030.6,1.4,0.0,5,Weekend
2013-03-02,3.0,-1.5,1030.8,0.9,0.0,5,Weekend
2013-03-02,9.0,-1.8,1030.1,2.0,0.0,5,Weekend
2013-03-02,4.0,-2.5,1029.6,0.7,0.0,5,Weekend
2013-03-02,3.0,-1.7,1029.8,1.2,0.0,5,Weekend
2013-03-02,3.0,-0.4,1029.6,1.8,0.0,5,Weekend
2013-03-02,10.0,0.6,1029.7,1.7,0.0,5,Weekend
2013-03-02,11.0,1.7,1028.9,1.6,0.0,5,Weekend
2013-03-02,18.0,2.2,1028.2,3.1,0.0,5,Weekend
2013-03-02,26.0,2.7,1027.3,2.7,0.0,5,Weekend
2013-03-02,25.0,3.3,1025.7,1.5,0.0,5,Weekend
2013-03-02,26.0,3.8,1024.8,1.3,0.0,5,Weekend
2013-03-02,37.0,3.9,1024.1,1.2,0.0,5,Weekend
2013-03-02,37.0,3.5,1023.6,2.5,0.0,5,Weekend
2013-03-02,44.0,2.2,1023.4,0.4,0.0,5,Weekend
2013-03-02,54.0,1.2,1023.2,0.9,0.0,5,Weekend
2013-03-02,61.0,1.5,1022.9,1.2,0.0,5,Weekend
2013-03-02,67.0,1.2,1022.9,1.2,0.0,5,Weekend
2013-03-02,74.0,0.6,1022.6,1.3,0.0,5,Weekend
